Shelf,Bin,Item Code,Medication,Type,P95_DAILY_DEMAND,VELOCITY_CATEGORY,Max_Capacity,Reorder_Threshold,TopUp_Threshold
2,32,ITM-001486,Fluconazole 150mg Capsule,Non-Buffer,50,Medium-Moving,,,
2,39,ITM-004115,URAL Oral Granules 4g,Non-Buffer,420,Medium-Moving,,,
3,4,ITM-000837,Clonidine HCl 25mcg Tablet,Non-Buffer,180,Slow-Moving,,,
3,6,ITM-002503,Montelukast 4mg Oral Granules,Non-Buffer,84,Slow-Moving,,,
3,8,ITM-004712,"Co-Trimoxazole 240mg/5mL [Trimethoprim 40mg/5mL, Sulfamethoxazole] Susp 100mL",Non-Buffer,2,Slow-Moving,,,
3,14,ITM-003113,Racecadotril [HIDRASEC INFANTS] 10mg Oral Granules,Non-Buffer,120,Medium-Moving,,,
3,15,ITM-003329,Simeticone 100mg/mL Oral Drop 30mL,Non-Buffer,6,Medium-Moving,,,
3,21,ITM-002728,Oxymetazoline HCl 0.025% Nasal Drop 10mL/15mL,Non-Buffer,10,Medium-Moving,,,
3,33,ITM-003016,Prednisolone 10mg/5mL Syrup 100mL,Non-Buffer,4,Slow-Moving,,,
3,35,ITM_000682,Cetirizine HCl 1mg/mL Oral Solution 60mL,Buffer,15,Medium-Moving,,,
3,42,ITM-004205,Morphine Sulfate 1mg/mL Oral Liquid 200mL,Buffer,20,Fast-Moving,,,
3,43,ITM-001939,Ipratropium Br 0.025% (500mcg/2mL) Neb Solution 2mL,Non-Buffer,60,Slow-Moving,,,
4,8,ITM-000192,Amisulpride 200mg Tablet,Non-Buffer,200,Slow-Moving,,,
4,14,ITM-001714,Haloperidol 5mg/mL Injection,Non-Buffer,20,Medium-Moving,,,
4,17,ITM-001810,Hydroxyzine HCl 25mg Tablet,Non-Buffer,1330,Fast-Moving,,,
4,36,ITM-004180,Vortioxetine 5mg Tablet,Non-Buffer,420,Medium-Moving,,,
4,39,ITM-000263,Aripiprazole [ABILIFY] 15mg Tablet,Non-Buffer,260,Medium-Moving,,,
5,1,ITM-002657,Ofloxacin [TARIVID] 0.3% Ear Drop 15mL,Non-Buffer,5,Medium-Moving,,,
5,12,ITM-003493,Tafamidis [VYNDAMAX] 61mg Capsule,Non-Buffer,30,Slow-Moving,,,
5,30,ITM-004473,HI-OMEGA 88 Omega-3 Fish Oil 400mg Capsule 60s,Non-Buffer,40,Fast-Moving,,,
5,32,ITM-004100,Semaglutide [RYBELSUS] 7mg Tablet,Non-Buffer,300,Medium-Moving,,,
5,46,ITM-000461,Bisacodyl 10mg Suppository,Non-Buffer,500,Fast-Moving,,,
6,17,ITM-000283,Atenolol 100mg Tablet,Non-Buffer,300,Slow-Moving,,,
6,18,ITM-003200,Rivastigmine [EXELON 10] 9.5mg/24hr Patch,Non-Buffer,220,Medium-Moving,,,
6,20,ITM-002248,Lurasidone HCl [LATUDA] 40mg Tablet,Non-Buffer,60,Slow-Moving,,,
7,2,ITM-001646,Glimepiride 2mg Tablet,Non-Buffer,112,Slow-Moving,,,
7,10,ITM-000486,Brexpiprazole [REXULTI] 2mg Tablet,Non-Buffer,56,Slow-Moving,,,
4,23,ITM-001330,Escitalopram 10mg Tablet,Non-Buffer,1530,Fast-Moving,,,
7,31,ITM-003854,"Vitamin B1 100mg, B6 200mg, B12 200mcg Tablet",Buffer,2600,Fast-Moving,,,
7,35,ITM-002303,Melatonin Prolonged-Release [CIRCADIN] 2mg Tablet,Non-Buffer,900,Fast-Moving,,,
7,38,ITM-005512,Tadalafil 20mg Tablet,Non-Buffer,80,Medium-Moving,,,
8,25,ITM-003363,Sodium Bicarbonate Powder 100g,Non-Buffer,7,Slow-Moving,,,
8,33,ITM-000330,Azathioprine 50mg Tablet,Non-Buffer,600,Medium-Moving,,,
8,44,ITM-003410,Sodium Polystyrene Sulfonate Oral Powder 15g,Buffer,60,Fast-Moving,,,
