Inventory Summary Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ITEM CODE,ARTICLE CODE,ARTICLE NAME,,Qty per batch,EXPIRY DT,BATCH NO,TOTAL BALANCE,BATCH BALANCE,ROUTE,PACK TYPE,PACK SIZE,BIN,CRITICAL LEVEL,PAR LEVEL
,ITM-002798,ART-002798-TAB0001M01,Paroxetine CR [SEROXAT CR] 12.5mg Tablet,,30,29/02/2028,3L7C,30,30,IPTL,,1,IPTLB1,,
,ITM-002837,ART-002837-TAB0001M01,Perampanel [FYCOMPA] 4mg Tablet,,117,31/10/2030,153803,117,117,IPTL,,1,IPTLB1,,
,ITM-002838,ART-002838-TAB0001M01,Perampanel [FYCOMPA] 8mg Tablet,,123,30/04/2029,146672,123,123,IPTL,,1,IPTLB1,,
,ITM-002858,ART-002858-TAB0001M01,Phenobarbital 10mg Tablet,,919,31/08/2027,D25702005,919,919,IPTL,,1,IPTLB1,,
,ITM-002859,ART-002859-TAB0001M01,Phenobarbital 60mg Tablet,,127,31/07/2026,D25712001,127,127,IPTL,,1,IPTLB1,,
,ITM-002864,ART-002864-TAB0001M01,Phenoxymethylpenicillin 250mg Tablet,,78,31/10/2027,112542,78,78,IPTL,,1,IPTLB1,,
,ITM-002899,ART-002899-TBE0001M02,Phosphate [SANDOZ] 16.1mmol Effervescent Tablet 20s,,19,31/05/2028,048C25,19,19,IPTL,,1,IPTLB1,,
,ITM-002906,ART-002906-BTL0001M01,Pilocarpine HCl 2% Eye Drop 15mL,,20,31/07/2027,VY290D,20,20,IPTL,,1,IPTLB1,,
,ITM-002984,ART-002984-BTL0001M01,Potassium Chloride 500mg/5mL Oral Solution 200mL,,40,31/12/2027,02125,40,40,IPTL,,1,IPTLB1,,
,ITM-002988,ART-002988-BTL0001M01,"Potassium Citrate 1.5g/5mL, Citric Acid 0.25g/5mL Syrup 200mL",,6,31/05/2027,241128,16,6,IPTL,,1,IPTLB1,,
,ITM-002988,ART-002988-BTL0001M01,"Potassium Citrate 1.5g/5mL, Citric Acid 0.25g/5mL Syrup 200mL",,10,31/01/2028,250731,16,10,IPTL,,1,IPTLB1,,
,ITM-003011,ART-003011-TAB0001M01,Prazosin 1mg Tablet,,1250,31/10/2027,IJ005,1250,1250,IPTL,,1,IPTLB1,,
,ITM-003017,ART-003017-TAB0001M01,Prednisolone 1mg Tablet,,1506,30/10/2029,58105,1506,1506,IPTL,,1,IPTLB1,,
,ITM-003018,ART-003018-TAB0001M01,Prednisolone 5mg Tablet,,5307,30/11/2029,PDT IK008,5307,5307,IPTL,,1,IPTLB1,,
,ITM-003048,ART-003048-BTL0001M03,Promethazine HCl 5mg/5mL Syrup 60mL/100mL,,12,30/09/2027,250327,12,12,IPTL,,1,IPTLB1,,
,ITM-003052,ART-003052-BTL0001M01,"Promethazine HCl 3.6mg/5mL, Codeine Phosphate 9mg/5mL [PROCODIN] Syrup 100mL",,50,30/04/2028,250447,50,50,IPTL,,1,IPTLB1,,
,ITM-003053,ART-003053-TAB0001M01,Promethazine Teoclate 25mg Tablet,,531,31/07/2027,232217,531,531,IPTL,,1,IPTLB1,,
,ITM-003078,ART-003078-TAB0001M01,Prucalopride [RESOLOR] 1mg Tablet,,16,30/06/2027,PGL1H00,16,16,IPTL,,1,IPTLB1,,
,ITM-003079,ART-003079-TAB0001M01,Prucalopride [RESOLOR] 2mg Tablet,,210,30/06/2027,PGL4B00,210,210,IPTL,,1,IPTLB1,,
,ITM-003094,ART-003094-TAB0001M01,Quetiapine 25mg Tablet,,5203,30/09/2028,AA27977,5203,5203,IPTL,,1,IPTLB1,,
,ITM-003161,ART-003161-TAB0001M01,Rifaximin [XIFAXAN] 550mg Tablet,,373,30/04/2028,30950,373,373,IPTL,,1,IPTLB1,,
,ITM-003171,ART-003171-TAB0001M01,Risedronate Sodium 150mg Tablet,,4,31/07/2029,158342,4,4,IPTL,,1,IPTLB1,,
,ITM-003173,ART-003173-BTL0001M01,Risperidone 1mg/mL Oral Solution 30mL,,5,31/12/2028,RAB3H00,5,5,IPTL,,1,IPTLB1,,
,ITM-003179,ART-003179-TAB0001M01,Risperidone 1mg Tablet,,435,30/04/2028,E9D023,435,435,IPTL,,1,IPTLB1,,
,ITM-003180,ART-003180-TAB0001M01,Risperidone 2mg Tablet,,70,30/04/2027,E8D013,70,70,IPTL,,1,IPTLB1,,
,ITM-003192,ART-003192-TAB0001M01,Rivaroxaban [XARELTO] 10mg Tablet,,451,18/02/2028,BXK7AA1,451,451,IPTL,,1,IPTLB1,,
,ITM-003196,ART-003196-CAP0001M01,Rivastigmine [EXELON] 3mg Capsule,,168,30/06/2028,B9596W,168,168,IPTL,,1,IPTLB1,,
,ITM-003197,ART-003197-CAP0001M01,Rivastigmine [EXELON] 4.5mg Capsule,,168,31/12/2026,B9169K,168,168,IPTL,,1,IPTLB1,,
,ITM-003199,ART-003199-PAT0001M01,Rivastigmine [EXELON 5] 4.6mg/24hr Patch,,118,31/08/2027,ALT617130B,118,118,IPTL,,1,IPTLB1,,
,ITM-003207,ART-003207-TAB0001M01,Ropinirole [REQUIP] 0.25mg Tablet,,655,31/01/2027,GK2Y,655,655,IPTL,,1,IPTLB1,,
,ITM-003245,ART-003245-BTL0001M03,Salbutamol 0.5% Neb Solution 10mL,,15,30/04/2027,5036498,15,15,IPTL,,1,IPTLB1,,
,ITM-003283,ART-003283-TAB0001M01,Selegiline HCl 5mg Tablet,,1524,31/03/2027,E9C007,1524,1524,IPTL,,1,IPTLB1,,
,ITM-003310,ART-003310-TAB0001M02,Sertraline 50mg Tablet,,2550,30/04/2028,CF05514,2550,2550,IPTL,,1,IPTLB1,,
,ITM-003339,ART-003339-TAB0001M01,Sitagliptin [JANUVIA] 25mg Tablet,,437,30/04/2027,Z011197,437,437,IPTL,,1,IPTLB1,,
,ITM-003370,ART-003370-BTL0001M01,Sodium Chloride 0.9% Eye Drop 10mL,,5,31/08/2028,567601,5,5,IPTL,,1,IPTLB1,,
,ITM-003439,ART-003439-TAB0001M01,Sotalol HCl 80mg Tablet,,163,30/06/2029,PF8272,163,163,IPTL,,1,IPTLB1,,
,ITM-003467,ART-003467-TAB0001M01,Sulpiride 200mg Tablet,,692,31/03/2029,115781,692,692,IPTL,,1,IPTLB1,,
,ITM-003469,ART-003469-TAB0001M01,Sultamicillin [UNASYN] 375mg Tablet,,44,31/07/2026,HP2239,44,44,IPTL,,1,IPTLB1,,
,ITM-003535,ART-003535-TAB0001M02,Terazosin [HYTRIN] 5mg Tablet,,84,30/04/2028,73665QA,84,84,IPTL,,1,IPTLB1,,
,ITM-003539,ART-003539-TAB0001M01,Terbinafine 250mg Tablet,,22,31/08/2027,118436,22,22,IPTL,,1,IPTLB1,,
,ITM-003549,ART-003549-SAC0001M01,Testosterone 1% (10mg/g) Gel 5g,,126,31/03/2028,A00907,126,126,IPTL,,1,IPTLB1,,
,ITM-003555,ART-003555-TAB0001M01,Topiramate 50mg Tablet,,872,30/09/2027,CI1171A,872,872,IPTL,,1,IPTLB1,,
,ITM-003564,ART-003564-CAP0001M02,Tetracycline HCl 250mg Capsule,,356,30/11/2027,83055,356,356,IPTL,,1,IPTLB1,,
,ITM-003580,ART-003580-TAB0001M01,Thiamine HCl 10mg Tablet,,280,31/07/2027,87014,280,280,IPTL,,1,IPTLB1,,
,ITM-003629,ART-003629-TAB0001M01,Tolbutamide 500mg Tablet,,550,31/07/2027,58075,550,550,IPTL,,1,IPTLB1,,
,ITM-003638,ART-003638-TAB0001M01,Topiramate 25mg Tablet,,520,30/09/2027,C11164A,520,520,IPTL,,1,IPTLB1,,
,ITM-003641,ART-003641-TAB0001M01,Topiramate 100mg Tablet,,200,30/09/2027,C11176A,200,200,IPTL,,1,IPTLB1,,
,ITM-003678,ART-003678-TAB0001M01,Trazodone HCl 50mg Tablet,,759,31/12/2029,OARZ,759,759,IPTL,,1,IPTLB1,,
,ITM-003711,ART-003711-TAB0001M02,Trifluoperazine 1mg Tablet,,345,31/12/2029,25001,345,345,IPTL,,1,IPTLB1,,
,ITM-003719,ART-003719-TAB0001M01,Trimebutine Maleate [DEBRIDAT] 100mg Tablet,,610,31/03/2028,2587,610,610,IPTL,,1,IPTLB1,,
,ITM-003781,ART-003781-TAB0001M02,Valaciclovir 500mg Tablet,,26,30/11/2028,E255903,26,26,IPTL,,1,IPTLB1,,
,ITM-003806,ART-003806-INJ0001M01,Vancomycin 500mg Injection,,13,26/02/2027,V5B25A1,13,13,IPTL,,1,IPTLB1,,
,ITM-003828,ART-003828-CT0001M02,Venlafaxine 75mg XR Capsule/Tablet,,441,28/02/2028,1501232,441,441,IPTL,,1,IPTLB1,,
,ITM-003890,ART-003890-JAR0001M01,White Soft Paraffin Ointment 50g,,12,28/02/2030,260280,12,12,IPTL,,1,IPTLB1,,
,ITM-003916,ART-003916-TAB0001M01,Zolmitriptan Dispersible [ZOMIG RAPIMELT] 2.5mg Tablet,,5,30/09/2027,126X06,5,5,IPTL,,1,IPTLB1,,
,ITM-003917,ART-003917-TAB0001M01,Zolpidem Tartrate CR [STILNOX CR] 6.25mg Tablet,,160,31/01/2027,KT0329,160,160,IPTL,,1,IPTLB1,,
,ITM-003918,ART-003918-TAB0001M01,Zolpidem Tartrate CR [STILNOX CR] 12.5mg Tablet,,202,30/04/2027,KT0774,202,202,IPTL,,1,IPTLB1,,
,ITM-004098,ART-004098-TAB0001M01,Semaglutide [RYBELSUS] 14mg Tablet,,499,29/02/2028,RS6PP75,499,499,IPTL,,1,IPTLB1,,
,ITM-004099,ART-004099-TAB0001M01,Semaglutide [RYBELSUS] 3mg Tablet,,331,31/05/2027,RS6PROS,331,331,IPTL,,1,IPTLB1,,
,ITM-004106,ART-004106-SAC0001M03,Acetylcysteine 100mg Oral Granules,,288,28/02/2027,397484,288,288,IPTL,,1,IPTLB1,,
,ITM-004114,ART-004114-TAB0001M01,Tolterodine Tartrate 2mg Tablet,,1072,31/01/2027,D2400336,1072,1072,IPTL,,1,IPTLB1,,
,ITM-004124,ART-004124-BTL0001M01,Bromhexine HCl 4mg/5mL Oral Liquid 90mL/100mL,,13,31/05/2027,520091,13,13,IPTL,,1,IPTLB1,,
,ITM-004126,ART-004126-BTL0001M02,Chlorphenamine Maleate 4mg/5mL Syrup 100mL/120mL,,8,30/11/2026,D25348001,8,8,IPTL,,1,IPTLB1,,
,ITM-004131,ART-004131-SAC0001M01,Colonic Lavage Oral Powder 74g,,17,30/11/2028,D78340,17,17,IPTL,,1,IPTLB1,,
,ITM-004142,ART-004142-TAB0001M01,Repaglinide 0.5mg Tablet,,154,30/06/2027,0203812,154,154,IPTL,,1,IPTLB1,,
,ITM-004143,ART-004143-TAB0001M01,Repaglinide 1mg Tablet,,90,31/10/2027,0205183,90,90,IPTL,,1,IPTLB1,,
,ITM-004145,ART-004145-BTL0001M01,"Salicylic Acid, Lactic Acid Collodion 10mL/15mL",,5,31/07/2028,W1D37,5,5,IPTL,,1,IPTLB1,,
,ITM-004173,ART-004173-CAP0001M01,Oseltamivir 75mg Capsule,,15,31/01/2031,7262439A,15,15,IPTL,,1,IPTLB1,,
,ITM-004179,ART-004179-TAB0001M01,Vortioxetine 10mg Tablet,,542,30/04/2029,2853037,542,542,IPTL,,1,IPTLB1,,
,ITM-004287,ART-004287-BTL0001M01,Hydroxyzine HCl 10mg/5mL Syrup 200mL,,3,30/11/2027,2412451,3,3,IPTL,,1,IPTLB1,,
,ITM-004365,ART-004365-CAP0001M01,Magnesium [MARINEMAG] 200mg Capsule,,1134,31/12/2027,2402512,1134,1134,IPTL,,1,IPTLB1,,
,ITM-004486,ART-004486-TAB0001M01,Finerenone [KERENDIA] 10mg Tablet,,79,10/04/2028,BXKA4K1,79,79,IPTL,,1,IPTLB1,,
,ITM-004487,ART-004487-TAB0001M01,Finerenone [KERENDIA] 20mg Tablet,,173,28/05/2028,BXKCE21,173,173,IPTL,,1,IPTLB1,,
,ITM-005069,ART-005069-BTL0001M02,Azithromycin 200mg/5mL Suspension 15mL/20mL,,9,30/09/2027,F39800,9,9,IPTL,,1,IPTLB1,,
,ITM-005770,ART-005770-TAB0001M02,Rivaroxaban 15mg Tablet,,653,31/10/2029,H0777A,653,653,IPTL,,1,IPTLB1,,
,ITM-005771,ART-005771-TAB0001M02,Rivaroxaban 20mg Tablet,,35,30/11/2029,H0783A,35,35,IPTL,,1,IPTLB1,,
,ITM-005776,ART-005776-CAP0001M02,Duloxetine Delayed-Release EC 30mg Capsule,,82,31/01/2027,2514000440,82,82,IPTL,,1,IPTLB1,,
,ITM-005777,ART-005777-CAP0001M03,Duloxetine Delayed-Release EC 60mg Capsule,,172,31/10/2026,2505010280,172,172,IPTL,,1,IPTLB1,,
,ITM-006048,ART-006048-CAP0001M02,Oseltamivir 30mg Capsule,,44,31/05/2035,M1052M8,44,44,IPTL,,1,IPTLB1,,
